Kennzeichen	Tatdatum	Briefdatum	Geburtstag	Uhrzeit	Telefon	Anrede	Verwarngeld	Endbetrag	Aktenzeichen	Vorname	Nachname	Ort	Austeller	Vergehen
MC-R 505	16.08.19	02.10.2019	11.10.1998	5:02	(04657) 244830	Herr	701,00	710,00	2-7X/P|1|1/S	Thomas	Fischer	Weng	Kreis München	Sie führten den Lkw/KOB bzw. dessen Anhänger, obwohl die Bremsen nicht den Vorschriften entsprachen und beeinträchtigen dadurch die Verkehrssicherheit. Sie gefährdeten (…) dadurch Andere.
JE -S 4953	10.09.2019	03.10.2019	20.04.2000	09:36	(08718) / 808841	Frau	1.475,00	1.480,00	F7W|5|E	Ben	Schneider	Deyelsdorf OT Stubbendorf/Fäsekow	Kreis Bielefeld	Sie fuhren vom Fahrbahnrand an. Es kam zum Unfall.
LM T 321	05.09.2019	09.10.19	15.09.2000	19:56	(08851) 37271	Frau	4.422,00	4.427,00	R7T/1|B5	Ben	Hofmann	Albaching	Polizeipräsidium Paderborn	Sie benutzten verbotenerweise die Verkehrsinsel.
LEV-OE 6413	13.08.2019	24.10.2019	23.02.1998	16:23	07782 / 402672	Frau	4.133,00	4.143,00	E3.S.BK.8	Lisa	Fischer	Langlingen	Kreis Hamburg	Sie ermöglichten einem Omnibus des Linienverkehrs/einem Schulbus nicht das Abfahren von einer gekennzeichneten Haltestelle. Es kam zum Unfall.
FF -Q 2708	06.08.2019	02.10.2019	30.10.98	20:54	+49 1899-815188	Herr	3.465,00	3.471,00	3/K6.K.28	Thomas	Fischer	Woppenroth	Landeshauptstadt Bielefeld	Sie überholten bei unklarer Verkehrslage. Es kam zum Unfall.
SRO-HU 9583	23.08.19	07.10.19	31.12.00	3:01	(04713) / 28-7234	Herr	4.892,00	4.900,00	9M-2-2.OVT2Y	Lena	Schmidt	Lübs	Ordnungsamt Hamburg	Sie führten als Halter das kennzeichnungspflichtige Fahrzeug mit gefährlichen Gütern/den KOB mit Fahrgästen bzw. dessen Anhänger, obwohl die Reifen keine ausreichende Profil- bzw. Einschnitttiefe bzw. ausreichenden Profilrillen besaßen. Sie gefährdeten (…) dadurch Andere.
ERK HN 9639	29.08.2019	10.10.19	22.01.00	10:26	+49 1008/304 61	Frau	841,00	850,00	4-D.T/L-O.1	Thomas	Müller	Hagermarsch	Universitätsstadt Paderborn	Sie begingen einen einfachen Rotlichtverstoß.
GVM -I 5830	30.08.19	02.10.2019	23.01.1997	5:06	06994 649868	Herr	4.053,00	4.059,00	1.3|5-78/I9J8J	Lisa	Hofmann	Altenmoor	Ordnungsamt Bielefeld	Sie ordneten sich nach dem Vorbeifahren ein, ohne dies rechtzeitig anzukündigen.
EU -P 4531	23.08.19	05.10.19	22.05.98	10:28	05648-234283	Herr	3.290,00	3.299,00	L-5.S4|E6.NP6R	Ben	Schulz	Drasdo	Altmarkkreis Bremen	Sie überholten bei unklarer Verkehrslage und fuhren dabei verbotswidrig über die Fahrstreifenbegrenzung. Es kam zum Unfall.
WIS -L 8718	12.09.19	04.10.2019	29.05.1997	20:55	04120 839448	Herr	3.593,00	3.599,00	7.7/Z|4/2U	Julia	Fischer	Ottenhain	Polizeipräsidium Frankurt am Main	Sie parkten unzulässig vor abgesenktem Bordstein länger als 3 Stunden.
PAN-BY 3671	06.08.2019	20.10.19	23.03.1997	04:40	09713/474562	Herr	3.994,00	3.999,00	2P3|N1.D-7/ZW	Ben	Schneider	Büren-Brenken	Kreis Frankurt am Main	Sie missachteten das Dauerlichtzeichen 'rote gekreuzte Schrägbalken' und gefährdeten (…) dadurch Andere.
WTL-EJ 903	10.08.2019	25.10.2019	01.11.1999	09:52	(03316)/60676	Herr	4.434,00	4.440,00	PR-Z|2/T-8/1|F	Lena	Schmidt	Kleinwolmsdorf	Freie und HansestadtBremen	Sie benutzten als Fahrzeugführer verbotswidrig ein technisches Gerät, um die Verkehrsüberwachung anzuzeigen/zu stören.
DAU-C 9815	05.09.2019	02.10.2019	19.12.97	6:42	+49 9993 / 876-6234	Frau	2.195,00	2.202,00	0|7LY-5	Julia	Hofmann	Zimmern	Freie Hansestadt Berlin	Sie missachteten das Dauerlichtzeichen 'rote gekreuzte Schrägbalken' (gesperrter Fahrstreifen). Es kam zum Unfall.
